WKT,fid,kk,gid,bstt,luas,bsbtt,idsls,kdkab,kdkec,kdsls,nmkab,nmkec,nmsls,bstt_k,kddesa,kdprov,khusus,muatan,nmdesa,nmprov,posisi,rw_dki,segmen,sumber,dom_sls,periode,tingkat,nm_gedung,wil_campur,iddesa,idkec,long
"MULTIPOLYGON (((115.218826379 -8.81648665999995,115.219241671 -8.81646894599993,115.219468737 -8.81651027999993,115.219671902 -8.81654866099996,115.219881042 -8.81651913599995,115.220030427 -8.81653980299996,115.220149936 -8.81649846999994,115.220170849 -8.81644237399996,115.220409867 -8.81641580199994,115.220475596 -8.81634789599997,115.220610043 -8.81633608699997,115.220645896 -8.81632132499993,115.220953631 -8.81638923099996,115.221264353 -8.81649846999994,115.221300205 -8.81654866099996,115.221524284 -8.81660180399996,115.221709522 -8.81674056699995,115.221832019 -8.81681142499997,115.222094937 -8.81687342599997,115.22222042 -8.81692066499994,115.222330966 -8.81687933099994,115.223962258 -8.81761300299996,115.224275968 -8.81777612299993,115.224346179 -8.81783000499996,115.224350369 -8.81784292999993,115.22433704 -8.81790122999996,115.22443558 -8.81815690999997,115.22437432 -8.81825544999998,115.22449684 -8.81872418999995,115.22461668 -8.81891860999997,115.22483241 -8.81913432999994,115.22497356 -8.81915030999994,115.22507257 -8.81915030999994,115.22507812 -8.81916971999993,115.22507812 -8.81923039999998,115.22507455 -8.81929107999997,115.22505671 -8.81935888999993,115.22503886 -8.81941242999994,115.22499246 -8.81948737999994,115.22494963 -8.81961586999995,115.22488489 -8.81965017999994,115.22481757 -8.81970866999995,115.22468908 -8.81972294999997,115.22459985 -8.81977648999998,115.22447136 -8.81988712999993,115.22433573 -8.81998706999997,115.22423222 -8.82010484999995,115.22413536 -8.82012487999998,115.22394976 -8.82017484999994,115.22380778 -8.82023873999998,115.22373611 -8.82032613999996,115.22372897 -8.82040465999995,115.22364281 -8.82047822999994,115.22356429 -8.82052819999996,115.22347965 -8.82056474999996,115.22341488 -8.82067115999996,115.22340697 -8.82068252999994,115.22328171 -8.82075693999997,115.22316186 -8.82091939999998,115.22303935 -8.82143607999996,115.22302605 -8.82159347999993,115.22297468 -8.82167053999996,115.22290924 -8.82176571999997,115.2228795 -8.82184304999993,115.22282001 -8.82195011999994,115.22277837 -8.82204529999996,115.22276455 -8.82210060999995,115.22266117 -8.82214983999995,115.22225368 -8.82287957999995,115.22225368 -8.82297628999993,115.22224299 -8.82299113999994,115.2222192 -8.82313390999997,115.22223704 -8.82326477999993,115.22224299 -8.82337184999994,115.22226679 -8.82347297999996,115.22228463 -8.82363953999993,115.22226084 -8.82377040999995,115.22224299 -8.82390127999997,115.22216566 -8.82402025999994,115.22210023 -8.82413327999996,115.222011 -8.82427009999998,115.22195151 -8.82440691999994,115.22186823 -8.82456157999997,115.22176115 -8.82467460999993,115.22148003 -8.82490765999995,115.22128096 -8.82524858999994,115.22126423 -8.82527723999993,115.22122827 -8.82531189999997,115.22092713 -8.82558250999995,115.22085428 -8.82577452999993,115.22071251 -8.82598548999994,115.22051263 -8.82620677999995,115.22034131 -8.82651729999998,115.22033774 -8.82684566999995,115.22031276 -8.82736676999997,115.22031276 -8.82759519999996,115.22027399 -8.82809507999997,115.22022045 -8.828452,115.21970887 -8.82935024999995,115.21947328 -8.82995043999995,115.21936727 -8.83011570999997,115.21904262 -8.83037936999995,115.21885226 -8.83063515999993,115.2186857 -8.83098017999993,115.21841729 -8.83162345999995,115.21823549 -8.83195317999997,115.2176542 -8.83237691999994,115.21732584 -8.83274097999993,115.21706885 -8.83297654999996,115.21683329 -8.83310503999996,115.21631219 -8.83336201999998,115.21532473 -8.83384698999993,115.21504868 -8.83394225999996,115.21399186 -8.83425398999998,115.21326302 -8.83444707999996,115.2125803 -8.83464038999995,115.21245508 -8.83465289999998,115.21227213 -8.83467370999995,115.21203635 -8.83474262999994,115.21168495 -8.83488425999997,115.21129698 -8.83497270999993,115.21085797 -8.83516901999997,115.21051483 -8.83528702999996,115.21006561 -8.83547596999995,115.20967657 -8.835658,115.20931608 -8.83586500999996,115.2090698 -8.83588285999997,115.2089663 -8.83592568999995,115.20875572 -8.83603276999997,115.20853443 -8.83618980999995,115.20819892 -8.83629688999997,115.20793704 -8.83643029999996,115.20771708 -8.83650746999996,115.20754576 -8.83660740999994,115.20733161 -8.83667164999997,115.20710675 -8.83674302999998,115.20697111 -8.83686776999997,115.20680337 -8.83697502999996,115.2065678 -8.83703927999994,115.20647247 -8.83707079999994,115.20626918 -8.83713801999994,115.20590334 -8.83724509999996,115.20564754 -8.83744140999994,115.20544257 -8.83750908999997,115.20524329 -8.83754893999998,115.20518869 -8.83757823999997,115.20506219 -8.83761152999995,115.20474393 -8.83770207999993,115.20474482 -8.83774235999994,115.20468089 -8.83776560999996,115.20439432 -8.83783847999996,115.20434993 -8.83780717999997,115.2043071 -8.83772864999997,115.20430851 -8.83772208999994,115.20427504 -8.83766931999997,115.20419337 -8.83749037999996,115.2041273 -8.83738026999993,115.203899766 -8.83730157499997,115.203783951 -8.83699258299993,115.202309654 -8.83529413499997,115.201764653 -8.83474179299998,115.199235293 -8.83119297299993,115.199223163 -8.83041381299995,115.199221319 -8.83029540599995,115.198676318 -8.83032302399994,115.19839683 -8.82896976499995,115.198208176 -8.82781327699996,115.19795339 -8.82782533699998,115.19776028 -8.82750198999997,115.19749001 -8.82711697999997,115.19718805 -8.82674857999996,115.19703706 -8.82651907999997,115.19699223 -8.82646201999995,115.19699276 -8.82646023999996,115.19694513 -8.82638341999996,115.19692284 -8.82634180999997,115.19700346 -8.82618450999996,115.19723977 -8.82593100999998,115.19726044 -8.82585347999998,115.19728424 -8.82577019999997,115.19729331 -8.82557005999996,115.19781216 -8.82537683999993,115.19783059 -8.82522953999995,115.19774509 -8.82493973999993,115.197741816 -8.82492864499994,115.1977036 -8.82479913999993,115.19750543 -8.82412749999997,115.19742394 -8.82385253999996,115.19728185 -8.82370388999993,115.19696916 -8.82337831999996,115.19686876 -8.82300706999996,115.19699003 -8.82238738999996,115.196985387 -8.82238169199996,115.196989557 -8.82238485399995,115.197223594 -8.82244340899996,115.197551247 -8.82252533799993,115.198167089 -8.82145368899995,115.19817904 -8.82110530999995,115.198175102 -8.82052926899996,115.198174559 -8.82044988199993,115.199163492 -8.82027126199995,115.199771491 -8.82011404799994,115.199771491 -8.81996753599998,115.199732651 -8.81988044099995,115.199743108 -8.81976935799997,115.199758046 -8.81972802399997,115.199764022 -8.81958114299994,115.199810331 -8.81939809499994,115.19985216 -8.81926929699995,115.19994926 -8.81899287999994,115.199926853 -8.81880798599997,115.199911914 -8.81875594999997,115.199964199 -8.81853857999994,115.200138505 -8.81799423699994,115.20019724 -8.81781081399993,115.201703048 -8.81746243099997,115.202115352 -8.81724026199993,115.202285652 -8.81703285599997,115.202637813 -8.81640321199995,115.202638202 -8.81640251699997,115.203005691 -8.81654127899998,115.203289523 -8.81657966099993,115.203456836 -8.81652061299997,115.203585308 -8.81624899099995,115.204481621 -8.81606594099998,115.204484622 -8.81606601199996,115.205100078 -8.81608070299995,115.205300254 -8.81611317899996,115.205823104 -8.81576110399993,115.205993404 -8.81566957899997,115.206241384 -8.81562233999995,115.20644819 -8.81563735499998,115.206973374 -8.81567548399994,115.207564941 -8.81553302999993,115.208267054 -8.81548283899997,115.209100626 -8.81485913999995,115.20929184 -8.81419927199994,115.209581647 -8.81386786199994,115.209810372 -8.81376811099994,115.209874443 -8.81374016899997,115.210155289 -8.81320577799994,115.210400281 -8.81307217999995,115.210824536 -8.81277693699997,115.21151171 -8.81236580899997,115.213029469 -8.81152583799997,115.213396957 -8.81149040799994,115.213440337 -8.81150282499993,115.213830176 -8.81161441099994,115.214230529 -8.81178860599994,115.214577104 -8.81178270099997,115.215291167 -8.81154059999994,115.215751275 -8.81128890299993,115.216465339 -8.81123871199998,115.217415866 -8.81092608899996,115.217439333 -8.81091837099996,115.217469957 -8.81107706499995,115.217302645 -8.81136419099994,115.217003874 -8.81167715099997,115.216791747 -8.81184543999996,115.216699127 -8.81217980499997,115.216690164 -8.81257247999997,115.216950095 -8.81273855499995,115.21733551 -8.81304339399998,115.217487883 -8.81324194499996,115.217586477 -8.81340432999997,115.217930065 -8.81363830999993,115.218515657 -8.81405829299996,115.219325327 -8.81448122899997,115.219346241 -8.81465542299998,115.21909826 -8.81465542299998,115.21898174 -8.81468494599994,115.218895096 -8.81476761499994,115.218623214 -8.81579136599993,115.218488184 -8.81643678999995,115.21848578 -8.81644827899993,115.218473829 -8.81649551699996,115.218581495 -8.81647311899997,115.218700895 -8.81644827899993,115.218826379 -8.81648665999995)))","1610","255",,"855",1473890.117580000078306,"113","51030100040006","03","010","0006",BADUNG,KUTA SELATAN,LINGKUNGAN SAWANGAN,"113","004","51","0","255",BENOA,BALI,,,,BPS,"11, 11, 1, 1, 1, 1, 1, 1, 10, 1, 10, 1, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 11, 1, 2, 1, 1, 1, 1",2024_1,"0",,"0","5103010004","5103010",115.210
"MULTIPOLYGON (((115.219576737 -8.75947687699994,115.219660583 -8.75998530799995,115.219636129 -8.76050754999994,115.219583724 -8.76109625799995,115.219377602 -8.76203283699994,115.219255327 -8.76205355399998,115.219091128 -8.76280799399996,115.219052698 -8.76297804499995,115.21930773 -8.76308162999993,115.21930773 -8.76328879799996,115.219573244 -8.76341655299996,115.219510358 -8.76371004099997,115.219286769 -8.76373766399996,115.219049205 -8.76371004099997,115.218794173 -8.76365479599997,115.218057024 -8.76364443699993,115.217934749 -8.76358573999994,115.217857889 -8.76329915699995,115.217697184 -8.76314032799996,115.217676223 -8.76307472399998,115.217546959 -8.76294696999997,115.217435165 -8.76296078199994,115.217281446 -8.76290898899992,115.217211574 -8.76278813999994,115.217194107 -8.76270181999996,115.217197601 -8.76260514099994,115.217270966 -8.76254644299996,115.217312889 -8.76241437299996,115.217281446 -8.76227626099995,115.21728494 -8.76207944999993,115.217194107 -8.76195169499994,115.21714869 -8.76169446099993,115.217082312 -8.76162195099994,115.217029908 -8.76144585599997,115.216918113 -8.76141823399996,115.216830774 -8.76133881899995,115.216649106 -8.76129393199994,115.216282279 -8.76093397499994,115.216282279 -8.76073629999996,115.21634167 -8.76059128099996,115.216338176 -8.76050150699996,115.216390581 -8.76030037999993,115.216409677 -8.76026925099995,115.216248179 -8.76019166099996,115.216245644 -8.76019790999993,115.216209954 -8.76026571899996,115.216183221 -8.76030654099998,115.216149238 -8.76034155799994,115.216109236 -8.76036950299994,115.216027147 -8.76041590299997,115.215983631 -8.76043540499995,115.215937257 -8.76044651199993,115.215862307 -8.76045722199996,115.215806895 -8.76045908399993,115.215752378 -8.76044898899994,115.215645298 -8.76041686999997,115.215608428 -8.76040262899994,115.215574183 -8.76038288999996,115.215370743 -8.76024368999998,115.215345192 -8.76022372299997,115.215184573 -8.76008095299994,115.215182439 -8.76007903399994,115.214950094 -8.75986780699998,115.214764237 -8.75971000999994,115.214759215 -8.75970563199996,115.214560263 -8.75952761899993,115.214365181 -8.75936891399994,115.214186989 -8.75925366999996,115.214153394 -8.75922776199997,115.214124532 -8.75919666899995,115.214101192 -8.75916124299994,115.213857003 -8.75871396599996,115.213775905 -8.75856542999998,115.213750861 -8.75849910199997,115.21366846 -8.75813460099994,115.213664087 -8.75810952499995,115.213596493 -8.75756274099996,115.213571314 -8.75744028599996,115.21356645 -8.75740278099994,115.213567156 -8.75736496799993,115.213581886 -8.75720618699995,115.213592201 -8.75715423499997,115.213612971 -8.75710550999997,115.213695891 -8.75695601999996,115.213706763 -8.75693817599995,115.213771002 -8.75684180599995,115.213802884 -8.75680288099994,115.213841753 -8.75677093099995,115.213886114 -8.75674718899995,115.213934258 -8.75673256699997,115.21398433 -8.75672762999994,115.21405929 -8.75672762999994,115.214098342 -8.75673062199996,115.214136482 -8.75673952699998,115.214204292 -8.75676093699997,115.214259933 -8.75678613399998,115.214308034 -8.75682377899994,115.214382483 -8.75689793899994,115.214418108 -8.75694234699995,115.214443055 -8.75699352199996,115.214454818 -8.75704352099996,115.214471584 -8.75706489299995,115.214498501 -8.75710712799997,115.214516693 -8.75715379199994,115.214525466 -8.75720310099996,115.214524485 -8.75725317499996,115.214513787 -8.75730210299997,115.214493781 -8.75734801699997,115.214451792 -8.75742330799994,115.214423577 -8.75746405999996,115.214389475 -8.75750435299994,115.214390299 -8.75752085399995,115.21439062 -8.75753365999998,115.21439062 -8.75769817099996,115.214400491 -8.75781988599994,115.21440125 -8.75783420199997,115.214404535 -8.75796559199995,115.214417463 -8.75807876999994,115.21442921 -8.75817859199998,115.214455404 -8.75826882099994,115.214457362 -8.75827594599997,115.214480162 -8.75836387199996,115.214516663 -8.75847337599993,115.214525531 -8.75850775699996,115.214535366 -8.75856084599997,115.21455774 -8.75859963299996,115.214595472 -8.75864765399996,115.214704389 -8.75871248799996,115.21476193 -8.75875920799996,115.214911155 -8.75892141399993,115.215175161 -8.75912427499998,115.215206405 -8.75915266699997,115.215232567 -8.75918580099994,115.215252935 -8.75922277899997,115.215267257 -8.75925475699995,115.215472929 -8.75940625699997,115.215513453 -8.75942167099993,115.21557423 -8.75945478599994,115.21570177 -8.75954861599996,115.215705176 -8.75955116599994,115.215775765 -8.75960492499996,115.215780629 -8.75960872299993,115.215832694 -8.75965039199997,115.216042098 -8.75977151599994,115.216133227 -8.75981876799995,115.216175375 -8.75984617699993,115.216211365 -8.75988128299997,115.216239812 -8.75992273899993,115.21625962 -8.75996894799994,115.21626626 -8.76000031999996,115.21634476 -8.75993691999997,115.216409 -8.75996546999994,115.21643042 -8.76006183999993,115.21643756 -8.76016534999997,115.21642685 -8.76023672999997,115.216429455 -8.76023701099996,115.216529075 -8.76024774799993,115.21663078 -8.76025870999996,115.2167338 -8.76036521999993,115.21686705 -8.76046039999994,115.2170003 -8.76048894999997,115.21710976 -8.76044611999993,115.21722397 -8.76040804999997,115.2172668 -8.76029859999994,115.2172906 -8.76018913999997,115.2172668 -8.76008443999996,115.21721445 -8.76001781999997,115.21719542 -8.75993215999995,115.21714783 -8.75979890999997,115.21713831 -8.75972276999994,115.21714307 -8.75962758999998,115.21714004 -8.75952409999996,115.21722083 -8.75947591999994,115.217135741 -8.75926308599998,115.21711427 -8.75920937999996,115.21708764 -8.75914273999996,115.21705432 -8.75896665999994,115.21700197 -8.75860498999998,115.21706384 -8.75838606999997,115.21692583 -8.75814812999994,115.21670216 -8.75780548999995,115.21650705 -8.75758181999993,115.21617392 -8.75741048999993,115.21615916 -8.75732664999992,115.21612347 -8.75728381999994,115.21595861 -8.75726508999998,115.21592646 -8.75722489999993,115.21602164 -8.75688700999996,115.21618813 -8.75638639999994,115.21619694 -8.75628295999996,115.21617612 -8.75625023999993,115.21621857 -8.75603448999993,115.21625958 -8.75592570999993,115.2162929 -8.75556878999993,115.21630006 -8.75550862999995,115.21630167 -8.75549510899998,115.21630332 -8.75548124999995,115.21631669 -8.75536891999997,115.21636904 -8.75516427999997,115.21644042 -8.75493109999996,115.21650229 -8.75468838999996,115.21666409 -8.75419345999995,115.216669413 -8.75416511199995,115.217895296 -8.75428622999993,115.218024088 -8.75429540499994,115.218023685 -8.75429961099996,115.217922371 -8.75495868099995,115.217873316 -8.75556108499995,115.217869967 -8.75560221199993,115.219021106 -8.75565745799997,115.2190246 -8.75589268599998,115.219050801 -8.75615035699997,115.219106699 -8.75663634899996,115.21916609 -8.75707054699996,115.219139888 -8.75754617899997,115.219150424 -8.75787105899997,115.219150522 -8.75787216399993,115.219178467 -8.75815184599998,115.219328692 -8.75851525899998,115.219416032 -8.75900297399994,115.219482404 -8.75919869699993,115.219576737 -8.75947687699994)))","1611","147",,"572",169837.444749999995111,"35","51030100050001","03","010","0001",BADUNG,KUTA SELATAN,LINGKUNGAN KERTHA PASCIMA,"5","005","51","0","147",TANJUNG BENOA,BALI,,,,BPS,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2024_1,"0",,"0","5103010005","5103010",115.218
